product_code,product_name,collection,model,category,subcategory,product_url,current_price,list_price,discount,currency,dimensions,finish,finish_code,material,installation_type,rough_in,specifications,features,required_components,compatible_products,image_urls,spec_sheet_url,has_cad_assets,source_url,needs_manual_review,review_notes
5684IN-4ND-CP,"Aleo+™ Wall-mount bathroom sink faucet trim, 9.0 lpm",Aleo+™,5684IN-4ND,Basin Area,Wall-Mount Faucets,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-in-polished-chrome-5684in-4nd?skuId=5684IN-4ND-CP,11519.0,,,INR,"Wall-mount bathroom sink faucet trim, 9.0 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Wall-mount; Trim only; requires valve to complete installation (sold separately); G 1/2 inlet connection,,"1-WM LAV FAUCET, 1 MOUNTING KIT; 1 ESCUTCHEON KIT;1 WARRANTY;1INSTALLATION INSTRUCTION; None","Sleek contemporary design; Single Lever handle allows for on/off activation, volume, and temperature control; 16 cm (6.3 inch) spout reach; Aerated flow; 9.0 lpm (2.38 gpm) maximum flow rate at 3.0 bar (43.5 psi); Drain sold separately",inRiver_558780,,,https://techcomm.kohler.com/techcomm/pdf/K-5684IN-4ND_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/faucets/shop-wall-mount-faucets,False,
23975IN-4ND-CP,"KOHLER VIVE® Wall-mount bathroom sink faucet, 5.5 lpm",KOHLER VIVE®,23975IN-4ND,Basin Area,Wall-Mount Faucets,https://www.kohler.co.in/p/vive-wall-mount-bathroom-sink-faucet-5-5-lpm-23975in-4nd?skuId=23975IN-4ND-CP,11189.0,,,INR,"Wall-mount bathroom sink faucet, 5.5 lpm",Polished Chrome,CP,Premium metal construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Wall-mount; Drain sold separately,,"1-WM LAV FAUCET, 1 VALVE,  1 MOUNTING KIT; 1 ESCUTCHEON KIT;1 WARRANTY;1INSTALLATION INSTRUCTION; None","A single handle controls both on/off activation and temperature setting; 6-5/8"" (16.8 cm) spout reach; 1.5 gpm (5.5 lpm) maximum flow rate at 43.5 psi (3.0 bar)",,,,https://techcomm.kohler.com/techcomm/pdf/K-23975IN-4ND_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/faucets/shop-wall-mount-faucets,False,
23486IN-4ND-CP,"Parallel™ Wall-mount bathroom sink faucet, 9.0 lpm",Parallel™,23486IN-4ND,Basin Area,Wall-Mount Faucets,https://www.kohler.co.in/p/parallel-wall-mount-sc-lav-faucet-23486in-4nd?skuId=23486IN-4ND-CP,13769.0,,,INR,"Wall-mount bathroom sink faucet, 9.0 lpm",Polished Chrome,CP,Premium metal construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Wall-mount; Preattached flexible supply lines simplify installation,,"1-WM LAV FAUCET, 1 MOUNTING KIT; 1 ESCUTCHEON KIT;1 WARRANTY;1INSTALLATION INSTRUCTION; None",A single handle controls both on/off activation and temperature setting; 16.4 cm (6.45 inch) spout reach; 9.0 lpm (2.38 gpm) maximum flow rate at 3.0 bar (43.5 psi); KOHLER® ceramic disc valves exceed industry longevity standards for a lifetime of durable performance; Coordinates with other products in the Parallel collection,inRiver_558780,,,https://techcomm.kohler.com/techcomm/pdf/K-23486IN-4ND_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/faucets/shop-wall-mount-faucets,False,
5683IN-4ND-CP,"Aleo® Wall-mount bathroom sink faucet, 9.0 lpm",Aleo™,5683IN-4ND,Basin Area,Wall-Mount Faucets,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-5683in-4nd?skuId=5683IN-4ND-CP,9919.0,,,INR,"Wall-mount bathroom sink faucet, 9.0 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Wall-mount; Trim only; requires valve to complete installation (sold separately),,1 TRIM; 1 HANDLE; 1 BONNET;1 SPOUT;1 CONNECTOR; 1 WARRANTY CARD; 1 INSTALLATION INSTRUCTION; None,"Single Lever handle allows for on/off activation, volume, and temperature control; 16 cm (6.3 inch) spout reach; Aerated flow; 9.0 lpm (2.38 gpm) maximum flow rate at 3.0 bar (43.5 psi); Drain sold separately",inRiver_558780,,,https://techcomm.kohler.com/techcomm/pdf/K-5683IN-4ND_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/faucets/shop-wall-mount-faucets,False,
97358IN-4ND-CP,Avid Single Control Wall mount Lavatory Faucet without Drain,Avid,97358IN-4ND,Basin Area,Wall-Mount Faucets,https://www.kohler.co.in/p/avid-single-control-wall-mount-lavatory-faucet-without-drain-97358in-4nd?skuId=97358IN-4ND-CP,57759.0,,,INR,Sc wm lav faucet without drain,Polished Chrome,CP,,,,"2 ESCUTCHEON, 1 SPOUT, 1 SLEEVE, 1 HANDLE, 1 INSTALLATION GUIDE & 1 WARRANTY.; None","Complements the Avid(R) collection; Wall Mount Installation for a superior and cleaner lavatory area; Premium metal construction for durability and reliability; KOHLER ceramic disc valves exceed industry longevity standards by two times for a lifetime of durable performance.; KOHLER finishes resist corrosion and tarnishing, exceeding industry durability standards two times",,,,,True,https://www.kohler.co.in/p/faucets/shop-wall-mount-faucets,False,
73061T-7-BV,Composed™ Wall-mount lavatory faucet,Composed™,73061T-7,Basin Area,Wall-Mount Faucets,https://www.kohler.co.in/p/composed-wall-mount-lavatory-faucet-73061t-7?skuId=73061T-7-BV,50799.0,,,INR,Wall-mount lavatory faucet,Vibrant French Gold,BV,Brass; KOHLER finishes resist corrosion and tarnishing,,,"1 VALVE, 1 TRIM, 1 SPOUT, 1 HANDLE, 1 HARDWARE KIT,& 1 INSTALLATION GUIDE; None","KOHLER® ceramic disc valves exceed industry longevity standards for a lifetime of durable performance; Lift and turn handle; Spout reach 17 cm; Includes drain; Directionally adjustable, laminar-flow aerator; Includes in-wall brass valve",,,,https://techcomm.kohler.com/techcomm/pdf/K-73061T-7_spec_TH_Kohler_en.pdf,True,https://www.kohler.co.in/p/faucets/shop-wall-mount-faucets,False,
25759IN-4ND-CP,ModernLife Edge™ Wall-mount bathroom sink faucet,ModernLife Edge™,25759IN-4ND,Basin Area,Wall-Mount Faucets,https://www.kohler.co.in/p/modernlife-edge-wall-mount-bathroom-sink-faucet-25759in-4nd?skuId=25759IN-4ND-CP,22399.0,,,INR,Wall-mount bathroom sink faucet,Polished Chrome,CP,Premium metal construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Wall-mount; Preattached flexible supply lines simplify installation,,"1-WALL MOUNT LAV FAUCET, 1 MOUNTING KIT; 1 ESCUTCHEON KIT;1 WARRANTY CARD;1INSTALLATION INSTRUCTION MANUAL; None","Single Lever handle allows for both volume and temperature control; Unique one-piece design creates a continuous look and simplifies installation; Available in a range of dazzling finishes; 7-1/2"" (19.1 cm) spout reach; 2.1 gpm (8.0 lpm) maximum flow rate at 45 psi (3.1 bar); KOHLER® ceramic disc valves exceed industry longevity standards for a lifetime of durable performance",inRiver_558780,,,https://techcomm.kohler.com/techcomm/pdf/K-25759IN-4ND_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/faucets/shop-wall-mount-faucets,False,
73067T-9ACH-BV,COMPOSED® LIU GUANG JING YUN Series Double-handle Wall-mounted Bathroom Sink Faucet with Amber Gold Glazed Glass Handle,Composed™,73067T-9ACH,Basin Area,Wall-Mount Faucets,https://www.kohler.co.in/p/composed-liu-guang-jing-yun-series-double-handle-wall-mounted-bathroom-sink-faucet-with-amber-gold-glazed-glass-handle-73067t-9ach?skuId=73067T-9ACH-BV,87999.0,,,INR,2h wm lav faucet-ach,Vibrant Brushed Bronze,BV,,,,"1 SPOUT ASSY;
1 HARDWARE KIT;1 DRAIN;1 ESCUTCHEON;
1 INSTALLATION GUIDE;1 WARRANTY CARD; None","The innovative PVD space metal coating is subtly incorporated into the design, showcasing unique artistry; Warm and lustrous amber brings a sense of grandeur from majestic temples; Using ancient dewaxing casting technique, which requires firing for 7 days and 7 nights in a 47-stage process; The natural gradual color on each tap surface is unique and long-lasting; the surface feels silky smooth",,,,,True,https://www.kohler.co.in/p/faucets/shop-wall-mount-faucets,False,
73061IN-4ND-CP,"Composed™ Wall-mount bathroom sink faucet, 8.3 lpm",Composed™,73061IN-4ND,Basin Area,Wall-Mount Faucets,https://www.kohler.co.in/p/composed-wall-mount-bathroom-sink-faucet-8-3-lpm-73061in-4nd?skuId=73061IN-4ND-CP,46239.0,,,INR,"Wall-mount bathroom sink faucet, 8.3 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,,,1 TRIM; 1 HANDLE;1 SPOUT;1 BONNET;1 HARDWARE KIT;1 CONNECTOR;1 WARRANTY CARD;1 INSTALLATION GUIDE; None,"Sleek contemporary design; Lift and turn knob handle; Single handle provides on/off activation, volume, and temperature control; 6.7 inch (16.9 cm) spout reach; 2.2 gpm (8.3 lpm) maximum flow rate at 45 psi (3.1 bar); Laminar flow; Drain sold separately; KOHLER® ceramic disc valves exceed industry longevity standards for a lifetime of durable performance",,,,https://techcomm.kohler.com/techcomm/pdf/K-73061IN-4ND_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/faucets/shop-wall-mount-faucets,False,
5680IN-4ND-CP,"July™ Wall-mount bathroom sink faucet, 10.2 lpm",July™,5680IN-4ND,Basin Area,Wall-Mount Faucets,https://www.kohler.co.in/p/july-wall-mount-lavatory-faucet-trim-in-polished-chrome-5680in-4nd?skuId=5680IN-4ND-CP,3209.0,,,INR,"Wall-mount bathroom sink faucet, 10.2 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Wall-mount; Trim only; requires valve to complete installation (sold separately),,"1 TRIM; 1 HANDLE;
1 BONNET;1 SPOUT;1 CONNECTOR; 1 WARRANTY
CARD; 1 INSTALLATION INSTRUCTION; None","Single Lever handle allows for on/off activation, volume, and temperature control; Red/blue indexing; 16 cm (6.3 inch) spout reach; Aerated flow; 2.7 gpm (10.2 lpm) maximum flow rate at 45 psi (3.1 bar); Drain sold separately",,,,https://techcomm.kohler.com/techcomm/pdf/K-5680IN-4ND_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/faucets/shop-wall-mount-faucets,False,
