internal_id,product_code,product_name,mapping_source,confidence,status,notes
inRiver_1336101,11160T-1-0,"Odeon™ Odeon semi-recessed basin, 56 cm",captured_kohler_india_pdp_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
inRiver_1336186,13491T-4-RGD,"Kelston Dual Handle 8"" (20.3 cm) Lavatory Faucet",captured_kohler_india_pdp_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
inRiver_1336197,14031-BU-96,Marrakesh™ Vanity-top with single faucet hole,captured_kohler_india_pdp_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
inRiver_1336229,14428T-4-RGD,Purist™ Bath set hob mount lever handles,captured_kohler_india_pdp_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
inRiver_1336271,15848T-0,Reach™ 170 cm x 70 cm drop-in bath,captured_kohler_india_pdp_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
inRiver_1336308,1800T-0,Abrazo™ 167.6 cm x 80 cm freestanding bath,captured_kohler_india_pdp_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
inRiver_1336313,18343T-0,Evok™ 167.5 cm x 76.2 cm freestanding bath,captured_kohler_india_pdp_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
inRiver_1336332,1851IN-0,Brive Plus Round-front toilet bowl with concealed trapway,captured_kohler_india_pdp_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
inRiver_1336334,1853IN-0,Brive Plus Elongated toilet bowl with concealed trapway,captured_kohler_india_pdp_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
inRiver_1336335,1855IN-0,"Brive Plus Toilet tank, dual-flush",captured_kohler_india_pdp_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
inRiver_1336343,18775T-0,Duo™ 167 cm x 76 cm drop-in bath,captured_kohler_india_pdp_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
inRiver_1336344,18776T-0,Duo™ 152 cm x 76 cm drop-in bath,captured_kohler_india_pdp_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
inRiver_1336345,18778T-0,Emerald® Acrylic Drop-in Bathtub,captured_kohler_india_pdp_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
inRiver_1336392,2200IN-0,"Conical Bell™ 41.3 cm round vessel bathroom sink with glazed underside, no overflow",captured_kohler_india_pdp_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
inRiver_1336394,2210IN-0,Caxton™ 49.2 cm oval undercounter bathroom sink with glazed underside,captured_kohler_india_pdp_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
inRiver_1336395,2211IN-0,Caxton™ 54 cm undercounter lavatory,captured_kohler_india_pdp_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
inRiver_1336440,2661IN-0,Vox™ 41.3 cm square vessel bathroom sink,captured_kohler_india_pdp_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
inRiver_1336444,2749T-1-0,Forefront™ 90 cm rectangular vessel bathroom sink with glazed underside,captured_kohler_india_pdp_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
inRiver_1336454,2883-0,"Verticyl® 15-3/4"" round undermount bathroom sink",captured_kohler_india_pdp_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
