product_code,roles,bathroom_zones,mount_surfaces,installation_type,requires_host_product,host_roles,floor_contact,wall_contact,overhead,source,confidence,notes
15847T-0,bath,bathtub,floor,Drop-in,false,,true,false,false,catalogue_metadata,0.95,Drop-in installation is recorded as floor-contact; no host product is asserted. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
18775T-0,bath,bathtub,floor,Drop-in,false,,true,false,false,catalogue_metadata,0.95,Drop-in installation is recorded as floor-contact; no host product is asserted. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
1704T-Z-0,bath,bathtub,floor,Drop-in,false,,true,false,false,catalogue_metadata,0.95,Drop-in installation is recorded as floor-contact; no host product is asserted. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
18776T-0,bath,bathtub,floor,Drop-in,false,,true,false,false,catalogue_metadata,0.95,Drop-in installation is recorded as floor-contact; no host product is asserted. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
15848T-0,bath,bathtub,floor,Drop-in,false,,true,false,false,catalogue_metadata,0.95,Drop-in installation is recorded as floor-contact; no host product is asserted. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
18778T-0,bath,bathtub,floor,,false,,true,false,false,catalogue_metadata,0.95,Drop-in installation is recorded as floor-contact; no host product is asserted. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
18749IN-W03C-0,bath,bathtub,floor,Drop-in; Requires dedicated electrical GFCI circuit (220–240 V),false,,true,false,false,catalogue_metadata,0.95,Drop-in installation is recorded as floor-contact; no host product is asserted. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
1418-V-0,bath,bathtub,floor,Drop-in,false,,true,false,false,catalogue_metadata,0.95,Drop-in installation is recorded as floor-contact; no host product is asserted. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
20627IN-K-0,bath,bathtub,,"Corner; Left drain; Requires dedicated electrical GFCI circuit (220-240 V, 3 A, 50 Hz)",false,,false,false,false,catalogue_metadata,0.85,Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
1360IN-H2-0,bath,bathtub,floor,Drop-in; Requires 240 V hard-wired electrical service; Requires bath drain and jet trim kit (sold separately),false,,true,false,false,catalogue_metadata,0.95,Drop-in installation is recorded as floor-contact; no host product is asserted. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
1394IN-H2-0,bath,bathtub,floor,Drop-in; Requires 240 V hard-wired electrical service; Requires bath drain and jet trim kit (sold separately),false,,true,false,false,catalogue_metadata,0.95,Drop-in installation is recorded as floor-contact; no host product is asserted. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
1709IN-K-0,bath,bathtub,floor,"Drop-in; Reversible drain; Requires dedicated electrical GFCI circuit (220-240 V, 3 A, 50 Hz)",false,,true,false,false,catalogue_metadata,0.95,Drop-in installation is recorded as floor-contact; no host product is asserted. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
76442IN-NW-0,bath,bathtub,floor,Drop-in; Requires 240 V hard-wired electrical service,false,,true,false,false,catalogue_metadata,0.95,Drop-in installation is recorded as floor-contact; no host product is asserted. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
1188IN-C1-0,bath,bathtub,floor,,false,,true,false,false,catalogue_metadata,0.95,Drop-in installation is recorded as floor-contact; no host product is asserted. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
33074IN-CP,bath_filler,bathtub,wall,Wall-mount; G 1/2 inlet connection,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
23973IN-AA-CP,bath_filler,bathtub,wall,Wall-mount,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
14426IN-CP,bath_filler,bathtub,,,false,,false,false,false,catalogue_metadata,0.85,Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
33996IN-CP,bath_filler,bathtub,wall,Wall-mount,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
99460IN-4-CP,bath_filler,bathtub,,,false,,false,false,false,catalogue_metadata,0.85,Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
27493IN-CP,bath_filler,bathtub,wall,Wall-mount,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
14426-2MB,bath_filler,bathtub,wall,Wall-mount,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
27492IN-CP,bath_filler,bathtub,wall,Wall-mount,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
97905T-NA,bath_filler,bathtub,,,false,,false,false,false,catalogue_metadata,0.85,Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
14428T-4-RGD,bath_filler,bathtub,,,false,,false,false,false,catalogue_metadata,0.85,Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
25764IN-CP,bath_filler,bathtub,wall,Wall-mount; G 1/2 inlet connection,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
97904T-NA,bath_filler,bathtub,,,false,,false,false,false,catalogue_metadata,0.85,Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
10385IN-CP,bath_filler,bathtub,wall,Wall-mount,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
99060IN-CP,bath_filler,bathtub,wall,Wall-mount,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
T98071-4-BV,bath_filler,bathtub,deck_mount,Bath- or deck-mount,true,bath,false,false,false,catalogue_metadata,0.95,Explicit deck-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
25765IN-CP,bath_filler,bathtub,wall,Wall-mount; G 1/2 inlet connection,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
23512IN-CP,bath_filler,bathtub,wall,Wall-mount,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
73120-2MB,bath_filler,bathtub,wall,Wall-mount,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
33995IN-CP,bath_filler,bathtub,wall,Wall-mount,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
72791-CP,bath_filler,bathtub,wall,Wall-mount installation with slip-fit connection and NPT threads,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
26046IN-CP,bath_filler,bathtub,wall,Wall-mount,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
74046IN-A1-CP,bath_filler,bathtub,wall,,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
38471IN-CP,bath_filler,bathtub,wall,G 1/2 connection,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
99467IN-B-CP,bath_filler,bathtub,,,false,,false,false,false,catalogue_metadata,0.85,Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
97367T-B4-CP,showerhead,shower,floor,Floor-mount; Requires floor-mount bath filler mounting base (sold separately),false,,true,false,false,catalogue_metadata,0.95,Explicit floor-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
T9540-4-CP,bath_filler,bathtub,deck_mount,,true,bath,false,false,false,catalogue_metadata,0.95,Explicit deck-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
20077IN-CP,bath_filler,bathtub,wall,Wall-mount,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
22543IN-N-CP,bath_filler,bathtub,wall,Wall-mount,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
27490IN-CP,bath_filler,bathtub,wall,Wall-mount; G 1/2 inlet connection,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
27494IN-CP,bath_filler,bathtub,wall,Wall-mount,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
27477IN-4ND-CP,bath_filler,bathtub,deck_mount;counter,Deck-mount; For single-hole installation; Includes mounting hardware,true,bath,false,false,false,catalogue_metadata,0.95,Explicit deck-mount wording. Explicit counter/single-hole mounting wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
77963-8A-BL,bath_filler,bathtub,counter,Single-hole mounting; Remote valve installation allows flexibility for placement; Preattached flexible supply lines simplify installation,false,,false,false,false,catalogue_metadata,0.95,Explicit counter/single-hole mounting wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
73159IN-7-CP,bath_filler,bathtub,deck_mount;counter,Deck-mount; Single-hole mounting; Preattached flexible supply lines simplify installation,true,bath,false,false,false,catalogue_metadata,0.95,Explicit deck-mount wording. Explicit counter/single-hole mounting wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
22534IN-4-CP,basin_faucet;faucet,basin,,,false,,false,false,false,catalogue_metadata,0.85,Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
97347T-4-RGD,bath_filler,bathtub,,,false,,false,false,false,catalogue_metadata,0.85,Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
74028IN-4-CP,basin_faucet;faucet,basin,,,false,,false,false,false,catalogue_metadata,0.85,Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
33059IN-4ND-CP,bath_filler,bathtub,deck_mount;counter,Deck-mount; For single-hole installation; Flexible supply lines simplify installation,true,bath,false,false,false,catalogue_metadata,0.95,Explicit deck-mount wording. Explicit counter/single-hole mounting wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
33063IN-4ND-CP,bath_filler,bathtub,deck_mount;counter,Deck-mount; For single-hole installation; Flexible supply lines simplify installation,true,bath,false,false,false,catalogue_metadata,0.95,Explicit deck-mount wording. Explicit counter/single-hole mounting wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
25757IN-4ND-CP,bath_filler,bathtub,deck_mount;counter,Deck-mount; For single-hole installation; Preattached flexible supply lines simplify installation,true,bath,false,false,false,catalogue_metadata,0.95,Explicit deck-mount wording. Explicit counter/single-hole mounting wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
25758IN-4ND-CP,bath_filler,bathtub,deck_mount;counter,Deck-mount; For single-hole installation; Preattached flexible supply lines simplify installation,true,bath,false,false,false,catalogue_metadata,0.95,Explicit deck-mount wording. Explicit counter/single-hole mounting wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
14402IN-4A-CP,basin_faucet;faucet,basin,,,false,,false,false,false,catalogue_metadata,0.85,Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
72762T-9M-CP,bath_filler,bathtub,,,false,,false,false,false,catalogue_metadata,0.85,Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
77958T-4A-CP,bath_filler,bathtub,counter,For single-hole installation; Preattached flexible supply lines simplify installation,false,,false,false,false,catalogue_metadata,0.95,Explicit counter/single-hole mounting wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
73158T-4-RGD,bath_filler,bathtub,,,false,,false,false,false,catalogue_metadata,0.85,Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
97347-4-BL,bath_filler,bathtub,,Single hole; Preattached flexible supply lines simplify installation,false,,false,false,false,catalogue_metadata,0.85,Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
28514IN-ND-CP,bath_filler,bathtub,deck_mount;counter,For single-hole installation; Deck-mount,true,bath,false,false,false,catalogue_metadata,0.95,Explicit deck-mount wording. Explicit counter/single-hole mounting wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
EX28093IN-8-AF,bath_filler,bathtub,counter,For single-hole installation; Preattached flexible supply lines simplify installation,false,,false,false,false,catalogue_metadata,0.95,Explicit counter/single-hole mounting wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
97347IN-4-CP,basin_faucet;faucet,basin,,,false,,false,false,false,catalogue_metadata,0.85,Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
20070IN-4-CP,basin_faucet;faucet,basin,,,false,,false,false,false,catalogue_metadata,0.85,Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
72288IN-4-CP,basin_faucet;faucet,basin,,,false,,false,false,false,catalogue_metadata,0.85,Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
20071IN-4-CP,basin_faucet;faucet,basin,,,false,,false,false,false,catalogue_metadata,0.85,Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
5684IN-4ND-CP,bath_filler,bathtub,wall,Wall-mount; Trim only; requires valve to complete installation (sold separately); G 1/2 inlet connection,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
23975IN-4ND-CP,bath_filler,bathtub,wall,Wall-mount; Drain sold separately,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
23486IN-4ND-CP,bath_filler,bathtub,wall,Wall-mount; Preattached flexible supply lines simplify installation,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
5683IN-4ND-CP,bath_filler,bathtub,wall,Wall-mount; Trim only; requires valve to complete installation (sold separately),false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
97358IN-4ND-CP,basin_faucet;faucet,basin,wall,,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
73061T-7-BV,basin_faucet;faucet,basin,wall,,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
25759IN-4ND-CP,bath_filler,bathtub,wall,Wall-mount; Preattached flexible supply lines simplify installation,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
73067T-9ACH-BV,bath_filler,bathtub,wall,,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
73061IN-4ND-CP,bath_filler,bathtub,wall,,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
5680IN-4ND-CP,bath_filler,bathtub,wall,Wall-mount; Trim only; requires valve to complete installation (sold separately),false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
99876IN-4ND-CP,basin_faucet;faucet,basin,wall,,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
21969IN-4ND-BV,bath_filler,bathtub,wall,Wall-mount,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
34076IN-4ND-CP,bath_filler,bathtub,wall,Wall-mount,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
29199IN-4ND-RGD,bath_filler,bathtub,wall,Wall-mount; Preattached flexible supply lines simplify installation; Drain sold separately,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
29199IN-ECH-RGD,bath_filler,bathtub,wall,Wall-mount; Preattached flexible supply lines simplify installation,false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
EX27102T-4-2MB,bath_filler,bathtub,wall,Wall-mount; Trim only; requires valve to complete installation (sold separately),false,,false,true,false,catalogue_metadata,0.95,Explicit wall-mount wording. Role and zone are category/subcategory metadata mappings; no product compatibility is inferred.
