product_code,product_name,collection,model,category,subcategory,product_url,current_price,list_price,discount,currency,dimensions,finish,finish_code,material,installation_type,rough_in,specifications,features,required_components,compatible_products,image_urls,spec_sheet_url,has_cad_assets,source_url,needs_manual_review,review_notes
26284IN-AF,"Statement™ Oblong three-function handshower, 9.5 lpm",Statement™,26284IN,Showering Area,Hand Showers,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF,7129.0,,,INR,"Oblong three-function handshower, 9.5 lpm",Polished Chrome,AF,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,G 1/2 inlet connection; Bracket or slidebar required for wall-mount installation; Deck-mount holder required for deck-mount installation,,"1 HANDSHOWER, 1 FLOW REGULATOR,1 INSTALLATION GUIDE & 1 WARRANTY CARD; None","Multifunction handshower with advanced spray engine provides three spray experiences: Full Coverage with Katalyst technology, Deep Massage, and Cloud; Full Coverage with Katalyst™ air-induction technology delivers a drenching spray experience, ideal for rinsing shampoo from hair; Deep Massage streams twist and swirl, targeting sore muscles to ease away aches and pains; Cloud spray experience restores with a thick cloud of silky, super-fine water droplets; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Optimized sprayface for maximum performance; 9.5 lpm (2.5 gpm) maximum handshower flow rate at 3.1 bar (45 psi); Requires shower hose (sold separately)",inRiver_1337884; inRiver_2371536,,,https://techcomm.kohler.com/techcomm/pdf/K-26284IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-hand-showers,False,
12861IN-ZZ-CP,"Citrus™ Four-function handshower, 7.6 lpm",Citrus™,12861IN-ZZ,Showering Area,Hand Showers,https://www.kohler.co.in/p/citrus-multi-function-handspray-w-hose-12861in-zz?skuId=12861IN-ZZ-CP,1839.0,,,INR,"Four-function handshower, 7.6 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Wall-mount; G 1/2 inlet connection,,"1 HANDSHOWER, 1 HOSE ASSY; 1 WARRANTY CARD, 1 INSTALLATION GUIDE; None","90 mm (3.5 inch) diameter sprayface; Multifunction handshower provides four spray experiences: full coverage, concentrated, targeted, and combination spray; Racetrack waterway provides strong and powerful water coverage, even with low water pressure; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Flexible, silicone nozzles assure long life and easy clean; Ergonomic design is comfortable and easy to grip; 7.6 lpm (2.0 gpm) maximum flow rate at 3.0 bar (43.5 psi); Includes 60 inch (152.4 cm) smooth hose",,,,https://techcomm.kohler.com/techcomm/pdf/K-12861IN-ZZ_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-hand-showers,False,
16359IN-A-CP,"Complementary™ Single-function handshower, 10.0 lpm",Complementary™,16359IN-A,Showering Area,Hand Showers,https://www.kohler.co.in/p/complementary-single-function-handshower-with-hose-16359in-a?skuId=16359IN-A-CP,2339.0,,,INR,"Single-function handshower, 10.0 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Bracket or slidebar required for wall-mount installation (sold separately); G 1/2 connection,,"1 HANDSHOWER; 1 HOSE;
1 WARRANTY CARD; 1 INSTALLATION
GUIDE; None","Single-function handshower delivers a full, consistent spray, regardless of water pressure; Wide coverage spray produces an encompassing spray for everyday use; Ergonomic design is easy to use, even with soapy hands; Includes 150 cm (59 inch) flexible hose; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; 10.0 lpm (2.64 gpm) maximum flow rate at 3.0 bar (43.5 psi)",inRiver_1337884; inRiver_2371536,,,https://techcomm.kohler.com/techcomm/pdf/K-16359IN-A_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-hand-showers,False,
24717IN-CP,"Rainduet® 3.0 Three-function handshower, 16.6 lpm",Rainduet™ 3.0,24717IN,Showering Area,Hand Showers,https://www.kohler.co.in/p/handshower-without-hose-24717in?skuId=24717IN-CP,7579.0,,,INR,"Three-function handshower, 16.6 lpm",Polished Chrome,CP,Premium metal construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,G 1/2 inlet connection,,1 HANDSHOWER; 1 INSTALLATION GUIDE;1 WARRANTY CARD; None,"Advanced spray engine provides three alternate experiences: full coverage, powerful massage, and Komotion™ care spray; Full coverage with Katalyst™ air-induction technology offers a drenching spray experience, ideal for rinsing shampoo from hair; Powerful massage spray is a focused stream that targets sore muscles, or use as a utility spray to rinse kids, pets, and your shower; Komotion™ spray delivers a soothing, circular water pattern; Simple thumb button allows for a smooth transition between sprays; 5 inch (12.6 cm) diameter sprayface; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; 4.38 gpm (16.6 lpm) maximum flow rate at 43.5 psi (3.0 bar); Requires hose and wall-mount holder (sold separately)",inRiver_1337884; inRiver_2371536,,,https://techcomm.kohler.com/techcomm/pdf/K-24717IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-hand-showers,False,
72421IN-CP,"Awaken® B110 Three-function handshower, 17.0 lpm",Awaken™ B110,72421IN,Showering Area,Hand Showers,https://www.kohler.co.in/p/awaken-organic-multi-mode-handshower-with-hose-72421in?skuId=72421IN-CP,5329.0,,,INR,"Three-function handshower, 17.0 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Bracket or slidebar required for wall-mount installation; Deck-mount holder required for deck-mount installation,,"1- HANDSHOWER; 1-HOSE
1 FLOW REGULATOR KIT, 1-WARRANTY CARD; 1-INST. GUIDE; None","Handshower features transitional design, inspired by nature; Advanced spray engine provides three alternate experiences: wide coverage, intense drenching, and targeted spray; Wide coverage spray produces an encompassing spray for everyday use; Intense drenching spray delivers a forceful spray ideal for rinsing shampoo from hair; Targeted spray is a focused stream for targeting sore muscles or use as a utility spray; Thumb tab allows for a smooth transition between sprays; Spray nozzles cover full area of sprayhead; Combination of balance, weight, grip, and angle makes this handshower comfortable and easy to use; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; 4.48 gpm (17.0 lpm) maximum flow rate at 43.5 psi (3.0 bar); Shower hose sold separately",inRiver_1337884,,,https://techcomm.kohler.com/techcomm/pdf/K-72421IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-hand-showers,False,
98445IN-CP,"Spatula® 98 mm square single-function handshower, 13.0 lpm",Spatula™,98445IN,Showering Area,Hand Showers,https://www.kohler.co.in/p/spatula-square-single-function-handshower-13-0-lpm-98445in?skuId=98445IN-CP,5409.0,,,INR,"98 mm square single-function handshower, 13.0 lpm",Polished Chrome,CP,Durable ABS plastic; KOHLER finishes resist corrosion and tarnishing,Bracket or slidebar required for wall-mount installation (sold separately),,"1 HANDSHOWER; 1 HOSE;
1 INSTALLATION INSTRUCTION;
1 WARRANTY CARD; None","Square shape offers modern geometric style; Single-function handshower delivers a full, consistent spray, regardless of water pressure; 3.9 inch (98 mm) diameter sprayface; Ergonomic design is easy to use, even with soapy hands; Optimized sprayface for maximum performance; 3.43 gpm (13.0 lpm) maximum flow rate at 43.5 psi (3.0 bar); Includes hose",inRiver_1337884,,,https://techcomm.kohler.com/techcomm/pdf/K-98445IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-hand-showers,False,
98444IN-CP,"Spatula® 57 mm square single-function handshower, 13.0 lpm",Spatula™,98444IN,Showering Area,Hand Showers,https://www.kohler.co.in/p/eo-single-function-small-handshower-with-hose-98444in?skuId=98444IN-CP,4509.0,,,INR,"57 mm square single-function handshower, 13.0 lpm",Polished Chrome,CP,Durable ABS plastic; KOHLER finishes resist corrosion and tarnishing,Bracket or slidebar required for wall-mount installation (sold separately),,"1 HANDSHOWER; 1 HOSE;
1 INSTALLATION INSTRUCTION;
1 WARRANTY CARD; None","Square shape offers modern geometric style; Single-function handshower delivers a full, consistent spray, regardless of water pressure; 2.25 inch (57 mm) diameter sprayface; Ergonomic design is easy to use, even with soapy hands; Optimized sprayface for maximum performance; 3.43 gpm (13.0 lpm) maximum flow rate at 43.5 psi (3.0 bar); Includes hose",inRiver_1337884,,,https://techcomm.kohler.com/techcomm/pdf/K-98444IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-hand-showers,False,
28695IN-CP,"Statement™ Oblong three-function handshower, 9.5 lpm",Statement™,28695IN,Showering Area,Hand Showers,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-28695in?skuId=28695IN-CP,8689.0,,,INR,"Oblong three-function handshower, 9.5 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,G 1/2 inlet connection; Bracket or slidebar required for wall-mount installation; Deck-mount holder required for deck-mount installation,,1 WATERMIND HANDSHOWER;1 HOSE; 1 FLOW REGULATOR;1 INSTALLATION GUIDE; None,"Multifunction handshower with advanced spray engine provides three spray experiences: Full Coverage with WaterMind technology, Deep Massage, and Cloud; Full coverage with WaterMind™ technology delivers a consistent, drenching spray experience despite changes in water pressure; Deep Massage streams twist and swirl, targeting sore muscles to ease away aches and pains; Cloud spray experience restores with a thick cloud of silky, super-fine water droplets; After shower, Full Coverage silicone nozzles automatically close to reduce water drips and prevent limescale buildup; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Optimized sprayface for maximum performance; 2.5 gpm (9.5 lpm) maximum flow rate at 80 psi (5.5 bar)",,,,https://techcomm.kohler.com/techcomm/pdf/K-28695IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-hand-showers,False,
28585IN-0,"Switch Round four-function handshower, 7.6 lpm",Switch,28585IN,Showering Area,Hand Showers,https://www.kohler.co.in/p/switch-multimode-handshower-without-hose-white-28585in?skuId=28585IN-0,2659.0,,,INR,"Round four-function handshower, 7.6 lpm",White,0,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Bracket or slidebar required for wall-mount installation (sold separately); Deck-mount holder required for deck-mount installation (sold separately),,"1 HANDSHOWER, 1 INSTALLATION INSTRUCTION & 1 WARRANTY CARD; None","Handshower features contemporary design; Multifunction handshower provides four spray experiences: rinse, massage, care and soak; Rinse produces a full drenching spray; Massage provides a concentrated energy spray to relieve tired muscles; Care is a soft, aerated spray; Soak provides an immersive spray; Optimized sprayface for maximum performance; Angled nozzles provide a full-coverage spray; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Simple thumb button allows for a smooth transition between sprays; 7.6 lpm (2.0 gpm) maximum flow rate at 4.14 bar (60 psi); Requires shower hose (sold separately)",,,,https://techcomm.kohler.com/techcomm/pdf/K-28585IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-hand-showers,False,
97009IN-CP,"Rainduet® Square three-function handshower, 7.5 lpm",Rainduet™,97009IN,Showering Area,Hand Showers,https://www.kohler.co.in/p/rainduet-square-handshower-w-o-hose-97009in?skuId=97009IN-CP,8519.0,,,INR,"Square three-function handshower, 7.5 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,G 1/2 inlet connection,,"1- HANDSHOWER WITHOUT HOSE;
1-WARRANTY CARD; 1-INSTALLATION GUIDE; None","Rainduet™ handshower provides three spray experiences: full coverage with Katalyst™ air-induction technology, Champagne, and massage; Full Coverage with Katalyst™ air-induction technology delivers a drenching spray experience, ideal for rinsing shampoo from hair; Champagne spray delivers a soothing, circular water pattern; Powerful massage spray is a focused stream that targets sore muscles, or use as a utility spray to rinse kids, pets, and your shower; Simple thumb button allows for a smooth transition between sprays; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Flexible spray nozzles are easy to clean; 2.0 gpm (7.5 lpm) maximum flow rate at 43.5 psi (3.0 bar) with flow regulator; Requires hose and wall-mount holder (sold separately)",inRiver_1337884; inRiver_2371536,,,https://techcomm.kohler.com/techcomm/pdf/K-97009IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-hand-showers,False,
