assembly_id,assembly_type,role,product_code,required,relation_source,confidence,installation_surface,reference_resolved,notes
bathtub:15847T-0,BATHTUB,bathtub,15847T-0,true,explicit_catalogue,1.0,,true,Role supported by category=Wellness; subcategory=Drop-in Bathtubs.
bathtub:15847T-0,BATHTUB,required_component,inRiver_1336299,true,kohler_api,1.0,,false,Explicit required_components reference; unresolved references are retained without product mapping.
bathtub:18775T-0,BATHTUB,bathtub,18775T-0,true,explicit_catalogue,1.0,,true,Role supported by category=Wellness; subcategory=Drop-in Bathtubs.
bathtub:1704T-Z-0,BATHTUB,bathtub,1704T-Z-0,true,explicit_catalogue,1.0,,true,Role supported by category=Wellness; subcategory=Drop-in Bathtubs.
bathtub:1704T-Z-0,BATHTUB,required_component,inRiver_1336299,true,kohler_api,1.0,,false,Explicit required_components reference; unresolved references are retained without product mapping.
bathtub:1704T-Z-0,BATHTUB,required_component,inRiver_878644,true,kohler_api,1.0,,false,Explicit required_components reference; unresolved references are retained without product mapping.
bathtub:18776T-0,BATHTUB,bathtub,18776T-0,true,explicit_catalogue,1.0,,true,Role supported by category=Wellness; subcategory=Drop-in Bathtubs.
bathtub:18776T-0,BATHTUB,required_component,inRiver_1336299,true,kohler_api,1.0,,false,Explicit required_components reference; unresolved references are retained without product mapping.
bathtub:15848T-0,BATHTUB,bathtub,15848T-0,true,explicit_catalogue,1.0,,true,Role supported by category=Wellness; subcategory=Drop-in Bathtubs.
bathtub:15848T-0,BATHTUB,required_component,inRiver_1336299,true,kohler_api,1.0,,false,Explicit required_components reference; unresolved references are retained without product mapping.
bathtub:18778T-0,BATHTUB,bathtub,18778T-0,true,explicit_catalogue,1.0,,true,Role supported by category=Wellness; subcategory=Drop-in Bathtubs.
bathtub:18778T-0,BATHTUB,required_component,inRiver_1336299,true,kohler_api,1.0,,false,Explicit required_components reference; unresolved references are retained without product mapping.
bathtub:18749IN-W03C-0,BATHTUB,bathtub,18749IN-W03C-0,true,explicit_catalogue,1.0,,true,Role supported by category=Wellness; subcategory=Drop-in Bathtubs.
bathtub:1418-V-0,BATHTUB,bathtub,1418-V-0,true,explicit_catalogue,1.0,,true,Role supported by category=Wellness; subcategory=Drop-in Bathtubs.
bathtub:1418-V-0,BATHTUB,required_component,inRiver_242826,true,kohler_api,1.0,,false,Explicit required_components reference; unresolved references are retained without product mapping.
bathtub:1418-V-0,BATHTUB,required_component,inRiver_213884,true,kohler_api,1.0,,false,Explicit required_components reference; unresolved references are retained without product mapping.
bathtub:1418-V-0,BATHTUB,required_component,inRiver_213880,true,kohler_api,1.0,,false,Explicit required_components reference; unresolved references are retained without product mapping.
bathtub:1418-V-0,BATHTUB,required_component,inRiver_241232,true,kohler_api,1.0,,false,Explicit required_components reference; unresolved references are retained without product mapping.
bathtub:1418-V-0,BATHTUB,required_component,inRiver_1520238,true,kohler_api,1.0,,false,Explicit required_components reference; unresolved references are retained without product mapping.
bathtub:20627IN-K-0,BATHTUB,bathtub,20627IN-K-0,true,explicit_catalogue,1.0,,true,Role supported by category=Wellness; subcategory=Drop-in Bathtubs.
bathtub:1360IN-H2-0,BATHTUB,bathtub,1360IN-H2-0,true,explicit_catalogue,1.0,,true,Role supported by category=Wellness; subcategory=Drop-in Bathtubs.
bathtub:1360IN-H2-0,BATHTUB,required_component,inRiver_226220,true,kohler_api,1.0,,false,Explicit required_components reference; unresolved references are retained without product mapping.
bathtub:1360IN-H2-0,BATHTUB,required_component,inRiver_241232,true,kohler_api,1.0,,false,Explicit required_components reference; unresolved references are retained without product mapping.
bathtub:1360IN-H2-0,BATHTUB,required_component,inRiver_242948,true,kohler_api,1.0,,false,Explicit required_components reference; unresolved references are retained without product mapping.
bathtub:1360IN-H2-0,BATHTUB,required_component,inRiver_247956,true,kohler_api,1.0,,false,Explicit required_components reference; unresolved references are retained without product mapping.
bathtub:1360IN-H2-0,BATHTUB,required_component,inRiver_1520238,true,kohler_api,1.0,,false,Explicit required_components reference; unresolved references are retained without product mapping.
bathtub:1360IN-H2-0,BATHTUB,required_component,inRiver_213884,true,kohler_api,1.0,,false,Explicit required_components reference; unresolved references are retained without product mapping.
bathtub:1360IN-H2-0,BATHTUB,required_component,inRiver_213880,true,kohler_api,1.0,,false,Explicit required_components reference; unresolved references are retained without product mapping.
